dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__eta,param_model__max_depth,param_model__min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.7713239669799805,0.012567538209693172,0.028140926361083986,0.001527695153052606,3.963066389815045,0.022203823484477886,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.022203823484477886, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.923512501088945,0.9194519460657626,0.9056876808858689,0.894977301545818,0.9134264502327922,0.9114111759638373,0.01017829070413543,173
0,0.7685491561889648,0.023419673206637463,0.029001188278198243,0.0011288040405610046,3.963066389815045,0.05951769101112702,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.05951769101112702, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9362120200172296,0.9283038592211865,0.9097288768862948,0.897126153071793,0.9223993572804444,0.9187540532953896,0.013845486728330258,94
0,0.7705351829528808,0.03047168979981776,0.02801504135131836,0.0016300073990188739,3.963066389815045,0.01343885211152184,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.01343885211152184, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9138039511765446,0.9163835409588523,0.9020530243633302,0.8910038621250399,0.9038388942126201,0.9054166545672775,0.009079110786923883,194
0,0.7248793125152588,0.016069067341049313,0.028185224533081053,0.0012943075901967363,3.963066389815045,0.1009320402078782,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.1009320402078782, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9366572775406298,0.9297364269051699,0.9075993843830763,0.9020433448519519,0.9212765339605655,0.9194625935282786,0.013028162925778415,79
0,0.7821756362915039,0.037183236785192614,0.028844642639160156,0.0012451707465267266,3.963066389815045,0.035877998160001694,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.035877998160001694, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9315368160215272,0.9225445499511185,0.9070186137003804,0.8929349246450039,0.9204440959820347,0.914895800060013,0.01349474333734666,152
0,0.7365839958190918,0.017955215071326552,0.028665494918823243,0.0019339185296091102,3.963066389815045,0.0762522284353982,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.0762522284353982, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9392707456127616,0.9290298225745565,0.9096224022611338,0.9005043025428077,0.9229510894290056,0.9202756724840532,0.013776828652469372,41
0,0.7607173919677734,0.01293691809514518,0.028568077087402343,0.0007565333624147244,3.963066389815045,0.0411711076089411,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.0411711076089411, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9336469495019892,0.9244707727153934,0.9100773392959125,0.89490954496617,0.9205408910958175,0.9167290995150565,0.013274153697325888,126
0,0.7495036125183105,0.01878907254904534,0.03189840316772461,0.006214358860266593,3.963066389815045,0.06200680211778108,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.06200680211778108, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9386512568845524,0.9271326383444165,0.9081414370202592,0.8976972442431106,0.9222832031439052,0.9187811559272487,0.014384487864708168,92
0,0.7632944583892822,0.009751024712756236,0.029118108749389648,0.0019571184066036447,3.963066389815045,0.06467102793432797,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.06467102793432797, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9381576018042609,0.9301913639399483,0.908238232134042,0.8992556455750113,0.923618975714106,0.9198923638334737,0.014249693916560988,58
0,0.7633034229278565,0.011890404826177127,0.028599977493286133,0.0005785161260103273,3.963066389815045,0.028485445552552703,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.028485445552552703, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9266680217982597,0.9221960875415008,0.9050923909361056,0.8921702432461208,0.9180726156943598,0.9128398718432693,0.012596786243574867,166
