trial,bootstrap,criterion,max_features,max_samples,min_samples_leaf,n_estimators,value,time,dataset
165,True,log_loss,0.10145175135444613,0.8546875251074577,0.06622977539520049,796,0.7616666666666667,2.650967,31
166,True,log_loss,0.10462767095127096,0.79381837345279,0.06534849704063937,784,0.760404761904762,2.602501,31
167,True,log_loss,0.10180325848167025,0.7936649198390002,0.0746649381974698,773,0.7554761904761905,2.521351,31
168,True,log_loss,0.16915684834446765,0.8118395753227758,0.09688767664511097,675,0.7505000000000001,2.293429,31
169,True,log_loss,0.20062541105711543,0.5098342744693831,0.0661712977903183,751,0.7505476190476191,2.497342,31
170,True,log_loss,0.10621114383201569,0.7512323127491208,0.1042580534914169,810,0.7512142857142856,2.632446,31
171,True,log_loss,0.1591796101539263,0.8584044625197447,0.057950726022603115,854,0.7555952380952381,3.000941,31
172,True,log_loss,0.10071678500314207,0.8347158021405436,0.06492615002366525,480,0.7577380952380952,1.623526,31
173,True,log_loss,0.1293948920587005,0.7765153199672646,0.0789706064155645,727,0.7565238095238096,2.479336,31
174,True,log_loss,0.18649719579689983,0.8752482457257311,0.05950654671356664,872,0.7533571428571427,3.121804,31
175,True,log_loss,0.15649499172405332,0.8224416072118201,0.24699047303035082,755,0.577845238095238,2.404233,31
176,True,gini,0.6987007988232941,0.7986986101654298,0.07158708514267764,554,0.7344047619047618,2.334856,31
177,True,log_loss,0.11937250073037071,0.7614771498714454,0.08941845441671803,797,0.752095238095238,2.585921,31
178,True,entropy,0.21585854568478152,0.8408495197410687,0.0636077590643874,604,0.7512619047619047,2.160575,31
179,True,entropy,0.38857591264976005,0.8708002257121042,0.055374829661045545,692,0.7477857142857143,2.767331,31
180,True,entropy,0.15356645719477316,0.7285616827996948,0.08188112794797321,652,0.7535952380952382,2.173192,31
181,True,entropy,0.14321950367881298,0.8433128427973982,0.050118566894400085,926,0.7569285714285715,3.195169,31
182,True,entropy,0.12109845355109564,0.8527459309554373,0.056274879352960286,986,0.7595,3.27566,31
183,True,entropy,0.11474936997712444,0.8113483694172214,0.0586712294710864,467,0.7596904761904761,1.572227,31
184,True,entropy,0.11372275233448596,0.8077336854329888,0.0705545622125425,454,0.7561428571428572,1.509957,31
185,True,entropy,0.17567828207447372,0.7843102894433638,0.0587252042892615,413,0.752547619047619,1.467002,31
186,True,entropy,0.1214482648000552,0.8265761401534802,0.06590779724455241,479,0.7570238095238094,1.645198,31
187,True,log_loss,0.10096839590226955,0.856372582774494,0.16480820044851446,830,0.7407261904761906,2.629888,31
188,True,entropy,0.1916565944402894,0.8162285513190524,0.12340394994951491,538,0.7443690476190475,1.847318,31
189,True,entropy,0.16453219420523787,0.8869292368600872,0.07542593304290511,461,0.753452380952381,1.634624,31
190,True,gini,0.2424413084641459,0.9252082409684178,0.055895818505348784,512,0.752452380952381,1.935416,31
191,True,entropy,0.13678732379456435,0.8355684349826835,0.06222911151200162,979,0.7565,3.361701,31
192,True,entropy,0.1423217859892714,0.5346796740777278,0.05900599259697406,901,0.7555952380952381,2.969785,31
193,True,entropy,0.12035032891602868,0.8504023988551593,0.0681606665507114,771,0.7572380952380952,2.604968,31
194,True,entropy,0.46548160540615147,0.8661845670819834,0.05448493771521203,425,0.7448333333333333,1.75302,31
195,True,entropy,0.15712007336848294,0.8006058253777069,0.19890980425606103,988,0.7164166666666667,3.125584,31
196,True,entropy,0.12485396303803524,0.8319198241286501,0.05339373658536696,850,0.7607142857142858,2.889726,31
197,True,entropy,0.11387137865124336,0.7708624274823758,0.07213594176026965,872,0.7564761904761905,2.882037,31
198,True,entropy,0.18979402002452722,0.8300567310675245,0.08474037852509783,710,0.7502142857142857,2.454185,31
199,True,entropy,0.1189392200903033,0.787663802454149,0.0632483241884319,815,0.7590238095238095,2.727712,31
200,True,gini,0.6037828142615859,0.9340832396426892,0.12050374158346303,322,0.7312857142857143,1.251776,31
201,True,gini,0.2897057597825099,0.5284257756896638,0.09708073407763254,76,0.7397261904761905,0.274704,31
202,True,log_loss,0.790813310251306,0.8837899597538066,0.20552409526764331,777,0.7272738095238096,2.806503,31
203,True,gini,0.21297880797670965,0.810125657081475,0.06775103618853431,233,0.7556666666666667,0.834001,31
204,True,log_loss,0.6539250754276038,0.9825793244326855,0.17895834946270212,443,0.728952380952381,1.675125,31
205,True,gini,0.6423790959596241,0.6731873316178267,0.11282304095620421,729,0.7325119047619048,2.638972,31
206,True,log_loss,0.5409407306638098,0.6711056335779381,0.21313695056126197,786,0.5970357142857142,2.649037,31
207,True,log_loss,0.5346913177085039,0.6603637277669872,0.16794208137965433,856,0.7230238095238095,2.869037,31
208,True,entropy,0.29659896771696614,0.909083562364518,0.06522552956299897,239,0.7471904761904763,0.905807,31
209,True,log_loss,0.3053891196748964,0.5252114803415457,0.10089037821570744,600,0.7385119047619048,2.004189,31
210,True,entropy,0.12618121708098212,0.8006601103843707,0.06895716189766977,12,0.7431309523809524,0.069385,31
211,True,entropy,0.3101619121903761,0.8279948690447482,0.05309033764331269,281,0.7497142857142857,1.065794,31
212,True,entropy,0.1187644570119063,0.8019712147775077,0.050398191710291945,244,0.7594999999999998,0.891819,31
